state,district_code,district_name,population_total,population_rural,population_urban,decadal_growth_total,decadal_growth_rural,decadal_growth_urban,density_2011,sex_ratio_total_2011,sex_ratio_rural_2011,sex_ratio_urban_2011,child_sex_ratio_total_2011,child_sex_ratio_rural_2011,child_sex_ratio_urban_2011,sc_percentage_total_2011,st_percentage_total_2011,literacy_rate_total,literacy_rate_rural,literacy_rate_urban,wpr_total,wpr_rural,wpr_urban,cultivators_percentage,agricultural_labourers_percentage,household_industry_percentage,other_workers_percentage
Karnataka,566,Chitradurga,302554,266526,36028,13.64,12.88,19.6,13674,,,,947.0,947.0,948.0,23.67,18.99,64.45,60.72,81.14,47.55,50.84,32.66,38.42,33.45,3.34,24.79
Karnataka,575,Dakshina Kannada,82268,65844,16424,30.72,20.95,93.31,5665,,,,947.0,947.0,942.0,8.48,4.66,83.35,79.72,89.1,49.87,54.11,43.08,5.25,4.5,21.16,69.09
Karnataka,567,Davanagere,233112,191754,41358,11.16,9.09,21.9,8135,,,,950.0,948.0,952.0,22.08,14.08,67.43,62.75,78.08,43.76,47.85,34.37,30.76,34.54,3.86,30.85
Karnataka,562,Dharwad,87548,50089,37459,24.28,13.32,42.75,4355,,,,942.0,944.0,954.0,7.57,6.12,71.61,60.77,80.31,42.67,54.3,33.14,25.8,27.25,2.88,44.07
Karnataka,561,Gadag,61654,50637,11017,13.31,10.43,28.79,2807,,,,950.0,947.0,950.0,16.11,7.28,66.11,61.55,74.4,47.11,52.17,37.8,30.44,39.23,3.65,26.69
Karnataka,579,Gulbarga,65259,50074,15185,38.45,28.08,88.92,12444,,,,939.0,943.0,940.0,26.15,2.63,54.34,46.14,71.64,41.64,47.9,28.17,24.53,39.65,2.26,33.56
Karnataka,574,Hassan,32329,27896,4433,22.22,15.26,97.11,8457,,,,964.0,973.0,957.0,19.44,1.71,68.63,65.23,84.43,50.23,53.83,33.46,55.03,14.65,1.62,28.71
Karnataka,564,Haveri,141380,126249,15131,11.18,9.0,33.47,5430,,,,959.0,946.0,921.0,13.36,10.16,67.79,65.91,74.98,46.33,49.24,35.23,30.54,43.69,4.15,21.62
Karnataka,576,Kodagu,58054,56298,1756,25.89,25.4,44.05,1974,,,,975.0,978.0,974.0,12.53,9.49,77.99,76.1,89.74,48.56,50.23,38.06,7.9,4.31,0.95,86.84
Karnataka,581,Kolar,78875,72143,6732,15.77,12.51,67.75,8142,,,,971.0,962.0,979.0,29.38,6.53,65.84,58.88,82.58,45.74,51.41,31.94,33.04,25.37,3.58,38.01
Karnataka,560,Koppal,164271,152563,11708,18.53,18.52,18.63,8977,,,,952.0,958.0,973.0,15.93,12.9,54.1,51.01,69.14,46.36,48.98,33.19,30.37,42.38,3.3,23.95
Karnataka,573,Mandya,22402,17361,5041,30.3,28.59,36.54,9996,,,,929.0,939.0,944.0,14.02,0.91,61.05,57.74,78.39,47.65,49.94,35.66,48.93,24.52,2.09,24.45
